,frameNUM_veh,objectID_veh,p1x_veh,p1y_veh,p2x_veh,p2y_veh,bx_veh,by_veh,cx_veh,cy_veh,type_veh,zone_veh,course_veh,lostCounter_veh,key,frameNUM_ped,objectID_ped,p1x_ped,p1y_ped,p2x_ped,p2y_ped,bx_ped,by_ped,cx_ped,cy_ped,type_ped,zone_ped,course_ped,lostCounter_ped,distance,ped_veh_overlap,ped_veh_buffer_intersect,pet,intersection,video_name,sub_id
83,1041,50,599,450,700,525,649,487,649,525,2,5,321.3401917,0,0,965,53,640,457,676,525,658,491,658,525,0,5,999,1,9,1,1,2.533333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,0
84,973,53,642,492,684,525,663,508,663,525,2,5,8.130102354,1,0,966,53,641,456,677,524,659,490,659,524,0,5,360,2,4.123105626,1,1,0.233333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,0
85,255,16,513,428,629,529,571,478,571,529,2,4,18.43494882,3,0,133,0,552,460,588,529,570,494,570,529,0,4,126.8698976,0,1,1,1,4.066666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,3
86,199,12,0,512,104,616,52,564,52,616,2,6,156.6822916,0,0,167,12,4,435,52,596,28,515,28,596,0,6,360,27,31.2409987,1,1,1.066666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,3
87,203,14,0,521,66,597,33,559,33,597,2,6,274.5739213,0,0,167,12,4,435,52,596,28,515,28,596,0,6,360,27,5.099019514,1,1,1.2,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,3
88,280,19,0,508,46,604,23,556,23,604,2,-1,276.009006,0,0,167,12,4,435,52,596,28,515,28,596,0,6,360,27,9.433981132,1,1,3.766666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,3
89,258,16,521,420,619,527,570,473,570,527,2,4,338.1985905,0,0,120,15,556,457,582,526,569,491,569,526,0,4,123.6900675,0,1.414213562,1,1,4.6,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,3
90,174,17,555,282,608,326,581,304,581,326,2,5,270,0,0,188,17,570,265,595,326,582,295,582,326,0,5,218.6598083,0,1,1,1,-0.466666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,3
91,189,22,530,301,587,337,558,319,558,337,2,5,315,0,0,190,17,570,265,593,329,581,297,581,329,0,5,43.36342296,0,24.35159132,1,1,-0.033333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,3
92,274,24,550,282,615,326,582,304,582,326,2,5,251.5650512,0,0,188,17,570,265,595,326,582,295,582,326,0,5,218.6598083,0,0,1,1,2.866666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,3
93,317,25,580,472,678,549,629,510,629,549,2,4,330.2551187,0,0,181,20,637,471,670,540,653,505,653,540,0,4,90,0,25.63201124,1,1,4.533333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,3
94,31,3,0,515,71,625,35,570,35,625,2,6,287.5255684,0,0,23,8,27,549,52,617,39,583,39,617,0,6,277.3057595,12,8.94427191,1,1,0.266666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,12
95,94,9,0,530,82,627,41,578,41,627,2,6,283.3924978,0,0,23,8,27,549,52,617,39,583,39,617,0,6,277.3057595,12,10.19803903,1,1,2.366666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,12
96,151,10,0,544,67,623,33,583,33,623,2,-1,278.1301024,0,0,23,8,27,549,52,617,39,583,39,617,0,6,277.3057595,12,8.485281374,1,1,4.266666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,12
97,214,12,0,507,45,614,22,560,22,614,2,-1,11.30993247,0,0,329,20,2,529,59,604,30,566,30,604,0,6,278.9726266,14,12.80624847,1,1,-3.833333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,12
98,344,15,0,483,55,614,27,548,27,614,2,-1,275.7105931,0,0,329,20,2,529,59,604,30,566,30,604,0,6,278.9726266,14,10.44030651,1,1,0.5,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,12
99,342,18,4,509,53,604,28,556,28,604,2,6,78.69006753,19,0,329,20,2,529,59,604,30,566,30,604,0,6,278.9726266,14,2,1,1,0.433333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,12
100,399,19,0,524,36,612,18,568,18,612,2,-1,300.9637565,0,0,329,20,2,529,59,604,30,566,30,604,0,6,278.9726266,14,14.4222051,1,1,2.333333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,12
101,455,23,-7,532,43,614,18,573,18,614,2,-1,284.7435628,5,0,329,20,2,529,59,604,30,566,30,604,0,6,278.9726266,14,15.62049935,1,1,4.2,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,12
102,273,3,520,295,588,341,554,318,554,341,2,5,90,0,0,402,17,563,262,591,312,577,287,577,312,0,5,315,8,37.01351105,1,1,-4.3,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,14
103,253,8,530,289,600,336,565,312,565,336,2,5,78.69006753,0,0,402,17,563,262,591,312,577,287,577,312,0,5,315,8,26.83281573,1,1,-4.966666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,14
104,411,17,538,289,606,331,572,310,572,331,2,5,243.4349488,0,0,402,17,563,262,591,312,577,287,577,312,0,5,315,8,19.6468827,1,1,0.3,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_104715,14
